"ano";"mes";"forma_de_apoio";"produto";"instrumento_financeiro";"inovacao";"porte_de_empresa";"regiao";"uf";"municipio";"municipio_codigo";"setor_cnae";"subsetor_cnae_agrupado";"setor_bndes";"subsetor_bndes";"desembolsos_reais"
2026;3;"DIRETA";"BNDES FINEM";"SANEAMENTO";"NÃO";"GRANDE";"SUDESTE";"RIO DE JANEIRO";"DIVERSOS";9999998;"COMÉRCIO E SERVIÇOS";"CONSTRUÇÃO";"INFRAESTRUTURA";"CONSTRUÇÃO";"1003470000,0"
2026;3;"DIRETA";"BNDES FINEM";"PROGRAMA FUNDO CLIMA";"NÃO";"GRANDE";"NORDESTE";"BAHIA";"DIVERSOS";9999998;"COMÉRCIO E SERVIÇOS";"ELETRICIDADE E GÁS";"INFRAESTRUTURA";"ENERGIA ELÉTRICA";"531682593,04"
2026;2;"DIRETA";"BNDES MERCADO DE CAPITAIS";"DEBENTURES - OFERTAS PÚBLICAS PADRÃO";"NÃO";"GRANDE";"NORTE";"TOCANTINS";"DIVERSOS";9999998;"COMÉRCIO E SERVIÇOS";"ELETRICIDADE E GÁS";"INFRAESTRUTURA";"ENERGIA ELÉTRICA";"460000000,0"
2026;1;"DIRETA";"BNDES MERCADO DE CAPITAIS";"DEBENTURES - OFERTAS PÚBLICAS PADRÃO";"NÃO";"GRANDE";"SUDESTE";"RIO DE JANEIRO";"DIVERSOS";9999998;"COMÉRCIO E SERVIÇOS";"ATIV AUX TRANSPORTE E ENTREGA";"INFRAESTRUTURA";"ATV. AUX. TRANSPORTES";"459000000,0"
2026;1;"DIRETA";"BNDES MERCADO DE CAPITAIS";"DEBENTURES - OFERTAS PÚBLICAS PADRÃO";"NÃO";"GRANDE";"SUDESTE";"RIO DE JANEIRO";"SAO JOAO DA BARRA";3305000;"COMÉRCIO E SERVIÇOS";"ELETRICIDADE E GÁS";"INFRAESTRUTURA";"ENERGIA ELÉTRICA";"375000000,0"
2026;2;"DIRETA";"BNDES MERCADO DE CAPITAIS";"DEBENTURES - OFERTAS PÚBLICAS PADRÃO";"NÃO";"GRANDE";"CENTRO OESTE";"MATO GROSSO";"DIVERSOS";9999998;"COMÉRCIO E SERVIÇOS";"ELETRICIDADE E GÁS";"INFRAESTRUTURA";"ENERGIA ELÉTRICA";"370000000,0"
2026;3;"DIRETA";"BNDES-EXIM";"BNDES EXIM PÓS-EMBARQUE –  Buyer’s Credit";"NÃO";"GRANDE";"SUDESTE";"SAO PAULO";"SAO JOSE DOS CAMPOS";3549904;"INDÚSTRIA DE TRANSFORMAÇÃO";"OUTROS EQUIP TRANSPORTE";"INDUSTRIA";"MATERIAL DE TRANSPORTE";"347542976,38"
2026;2;"INDIRETA";"BNDES FINAME";"MATERIAIS INDUSTRIALIZADOS";"NÃO";"GRANDE";"SUL";"PARANA";"CURITIBA";4106902;"INDÚSTRIA DE TRANSFORMAÇÃO";"QUÍMICA";"INDUSTRIA";"QUÍMICA E PETROQUÍMICA";"308000000,0"
2026;2;"DIRETA";"BNDES FINAME";"BK AQUISIÇÃO E COMERCIALIZAÇÃO – BAIXO CARBONO";"NÃO";"GRANDE";"SUDESTE";"SAO PAULO";"SAO PAULO";3550308;"COMÉRCIO E SERVIÇOS";"TRANSPORTE TERRESTRE";"INFRAESTRUTURA";"TRANSPORTE RODOVIÁRIO";"286993343,22"
2026;2;"DIRETA";"BNDES FINEM";"DISTRIBUIÇÃO DE GÁS E BIOCOMBUSTÍVEIS CONVENCIONAIS";"NÃO";"GRANDE";"SUDESTE";"ESPIRITO SANTO";"VILA VELHA";3205200;"COMÉRCIO E SERVIÇOS";"ATIV AUX TRANSPORTE E ENTREGA";"INFRAESTRUTURA";"ATV. AUX. TRANSPORTES";"264073594,0"
2026;2;"DIRETA";"BNDES FINEM";"PROGRAMA FUNDO CLIMA";"NÃO";"GRANDE";"NORDESTE";"RIO GRANDE DO NORTE";"ACU";2400208;"COMÉRCIO E SERVIÇOS";"ELETRICIDADE E GÁS";"INFRAESTRUTURA";"ENERGIA ELÉTRICA";"257142857,14"
2026;1;"DIRETA";"BNDES FINEM";"MEIO AMBIENTE";"NÃO";"GRANDE";"SUDESTE";"SAO PAULO";"SAO PAULO";3550308;"COMÉRCIO E SERVIÇOS";"TRANSPORTE TERRESTRE";"INFRAESTRUTURA";"OUTROS TRANSPORTES";"256662915,33"
2026;2;"DIRETA";"BNDES MERCADO DE CAPITAIS";"DEBENTURES - OFERTAS PÚBLICAS PADRÃO";"NÃO";"GRANDE";"NORTE";"ACRE";"DIVERSOS";9999998;"COMÉRCIO E SERVIÇOS";"ELETRICIDADE E GÁS";"INFRAESTRUTURA";"ENERGIA ELÉTRICA";"220000000,0"
2026;2;"DIRETA";"BNDES FINEM";"PROGRAMA BNDES BRASIL SOBERANO";"NÃO";"GRANDE";"SUDESTE";"SAO PAULO";"GUARULHOS";3518800;"COMÉRCIO E SERVIÇOS";"ATIV IMOBIL, PROFISSIONAL E ADM";"COMÉRCIO E SERVIÇOS";"COMÉRCIO E SERVIÇOS";"200000000,0"
2026;1;"DIRETA";"BNDES FINEM";"PROGRAMA FUNDO CLIMA";"NÃO";"GRANDE";"SUDESTE";"MINAS GERAIS";"JANAUBA";3135100;"COMÉRCIO E SERVIÇOS";"ELETRICIDADE E GÁS";"INFRAESTRUTURA";"ENERGIA ELÉTRICA";"200000000,0"
2026;1;"DIRETA";"BNDES FINEM";"PROGRAMA BNDES BRASIL SOBERANO";"NÃO";"GRANDE";"SUDESTE";"SAO PAULO";"SAO CARLOS";3548906;"INDÚSTRIA DE TRANSFORMAÇÃO";"PRODUTOS DIVERSOS";"INDUSTRIA";"OUTRAS";"200000000,0"
2026;1;"DIRETA";"BNDES-EXIM";"PROGRAMA BNDES BRASIL SOBERANO";"NÃO";"GRANDE";"SUL";"RIO GRANDE DO SUL";"NOVA PRATA";4313300;"INDÚSTRIA DE TRANSFORMAÇÃO";"BORRACHA E PLÁSTICO";"INDUSTRIA";"OUTRAS";"199676533,7"
2026;3;"DIRETA";"BNDES FINEM";"MEIO AMBIENTE";"NÃO";"GRANDE";"SUDESTE";"SAO PAULO";"ALUMINIO";3501152;"INDÚSTRIA DE TRANSFORMAÇÃO";"METALURGIA";"INDUSTRIA";"METALURGIA E PRODUTOS";"181903182,54"
2026;1;"DIRETA";"BNDES FINEM";"PRODUÇÃO DE ALIMENTOS E BIOCOMBUSTÍVEIS";"NÃO";"GRANDE";"CENTRO OESTE";"MATO GROSSO DO SUL";"DIVERSOS";9999998;"INDÚSTRIA DE TRANSFORMAÇÃO";"PRODUTOS ALIMENTÍCIOS";"INDUSTRIA";"ALIMENTO E BEBIDA";"181795902,0"
2026;2;"DIRETA";"BNDES-EXIM";"PROGRAMA BNDES BRASIL SOBERANO";"NÃO";"GRANDE";"SUL";"SANTA CATARINA";"TIJUCAS";4218004;"INDÚSTRIA DE TRANSFORMAÇÃO";"MINERAL NÃO METÁLICO";"INDUSTRIA";"OUTRAS";"159583976,47"
2026;3;"DIRETA";"BNDES FINEM";"ENERGIA - GERAÇÃO DE ENERGIAS ALTERNATIVAS A PARTIR DE BIOMASSA, EÓLICA E PEQUENAS CENTRAIS HIDRELÉTRICAS";"NÃO";"GRANDE";"NORDESTE";"BAHIA";"DIVERSOS";9999998;"COMÉRCIO E SERVIÇOS";"ELETRICIDADE E GÁS";"INFRAESTRUTURA";"ENERGIA ELÉTRICA";"150000000,0"
2026;3;"DIRETA";"BNDES FINEM";"PROGRAMA BNDES MAIS INOVAÇÃO";"SIM";"GRANDE";"CENTRO OESTE";"MATO GROSSO";"LUCAS DO RIO VERDE";5105259;"INDÚSTRIA DE TRANSFORMAÇÃO";"COQUE, PETRÓLEO E COMBUSTÍVEL";"INDUSTRIA";"QUÍMICA E PETROQUÍMICA";"150000000,0"
2026;1;"DIRETA";"BNDES FINEM";"PROGRAMA BNDES BRASIL SOBERANO";"NÃO";"GRANDE";"SUL";"PARANA";"GUARAPUAVA";4109401;"INDÚSTRIA DE TRANSFORMAÇÃO";"MADEIRA";"INDUSTRIA";"OUTRAS";"150000000,0"
2026;3;"DIRETA";"BNDES-EXIM";"PROGRAMA BNDES BRASIL SOBERANO";"NÃO";"GRANDE";"SUDESTE";"SAO PAULO";"RIBEIRAO PRETO";3543402;"COMÉRCIO E SERVIÇOS";"COMÉRCIO";"COMÉRCIO E SERVIÇOS";"COMÉRCIO E SERVIÇOS";"149985000,0"
2026;3;"DIRETA";"BNDES FINEM";"ENERGIA - Distribuição de Energia Elétrica";"NÃO";"GRANDE";"CENTRO OESTE";"MATO GROSSO DO SUL";"DIVERSOS";9999998;"COMÉRCIO E SERVIÇOS";"ELETRICIDADE E GÁS";"INFRAESTRUTURA";"ENERGIA ELÉTRICA";"144000000,0"
2026;1;"DIRETA";"BNDES FINEM";"FUNDO DA MARINHA MERCANTE";"NÃO";"GRANDE";"SUL";"SANTA CATARINA";"DIVERSOS";9999998;"COMÉRCIO E SERVIÇOS";"TRANSPORTE AQUAVIÁRIO";"INFRAESTRUTURA";"OUTROS TRANSPORTES";"133655450,83"
2026;2;"DIRETA";"BNDES FINEM";"PROGRAMA BNDES MAIS INOVAÇÃO";"SIM";"GRANDE";"SUL";"PARANA";"SAO JORGE D'OESTE";4125209;"INDÚSTRIA DE TRANSFORMAÇÃO";"PRODUTOS ALIMENTÍCIOS";"INDUSTRIA";"ALIMENTO E BEBIDA";"132366557,56"
2026;3;"DIRETA";"BNDES FINEM";"PROGRAMA BNDES INVEST IMPACTO";"NÃO";"GRANDE";"CENTRO OESTE";"MATO GROSSO DO SUL";"DIVERSOS";9999998;"COMÉRCIO E SERVIÇOS";"CONSTRUÇÃO";"INFRAESTRUTURA";"CONSTRUÇÃO";"129000000,0"
2026;3;"DIRETA";"BNDES FINEM";"PROGRAMA BNDES MAIS INOVAÇÃO";"SIM";"GRANDE";"SUL";"RIO GRANDE DO SUL";"PASSO FUNDO";4314100;"INDÚSTRIA DE TRANSFORMAÇÃO";"COQUE, PETRÓLEO E COMBUSTÍVEL";"INDUSTRIA";"QUÍMICA E PETROQUÍMICA";"118940721,99"
2026;1;"DIRETA";"BNDES-EXIM";"BNDES EXIM PÓS-EMBARQUE –  Buyer’s Credit";"NÃO";"GRANDE";"SUDESTE";"SAO PAULO";"SAO JOSE DOS CAMPOS";3549904;"INDÚSTRIA DE TRANSFORMAÇÃO";"OUTROS EQUIP TRANSPORTE";"INDUSTRIA";"MATERIAL DE TRANSPORTE";"112288936,55"
2026;3;"DIRETA";"BNDES FINEM";"DEMAIS INVESTIMENTOS";"NÃO";"GRANDE";"SUL";"RIO GRANDE DO SUL";"PASSO FUNDO";4314100;"INDÚSTRIA DE TRANSFORMAÇÃO";"COQUE, PETRÓLEO E COMBUSTÍVEL";"INDUSTRIA";"QUÍMICA E PETROQUÍMICA";"110116258,98"
2026;3;"DIRETA";"BNDES FINEM";"PROGRAMA FUNDO CLIMA";"NÃO";"MÉDIA";"SUDESTE";"SAO PAULO";"PAULINIA";3536505;"INDÚSTRIA DE TRANSFORMAÇÃO";"COQUE, PETRÓLEO E COMBUSTÍVEL";"INDUSTRIA";"QUÍMICA E PETROQUÍMICA";"107690000,0"
